Post ID,Permalink,Post Message,Type,Posted,reach,comment,like,share,幫別人宣傳,心情,商品,活動,社會福利、弱勢,剩食,最近議題,街賣者,街友
509931262445814_704687449636860,https://www.facebook.com/Do.you.a.flavor/posts/704687449636860,【街賣者教給我的事】還記得前陣子夥伴之一阿德掰咖的時候嗎？這段期間，阿德親身體會了身障者的種種不便 - 不僅是生理的障礙，更面臨了心理的自我質疑與打擊......-----------------------------------------------------------------週末，不妨來這裡看見人生的意義：http://doyouaflavor.tw/#vendors或者你可以在這裡尋找適合午後的台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor#人生百味 #dyaf #街賣 #人生柑仔店 #石頭湯-----------------------------------------------------------------http://doyouaflavor.blogspot.tw/2015/06/blog-post_4.html,Link,7/30/1512:00上午,1646,1,51,3,,1,,,,,,,
509931262445814_705284466243825,https://www.facebook.com/Do.you.a.flavor/posts/705284466243825,"人生百味 剛剛賣出 【街頭撞見良食】 人生百味 日月老茶廠 阿薩姆紅茶 8茶包, 【街頭撞見良食】 人生百味 日月老茶廠 紅玉紅茶 8茶包入",Link,7/30/1512:00上午,1998,,20,,,,1,,,,,,
509931262445814_705220779583527,https://www.facebook.com/Do.you.a.flavor/posts/705220779583527,人生百味's cover photo,Photo,7/30/1512:00上午,1124,,,,,1,,,,,,,
509931262445814_704686616303610,https://www.facebook.com/Do.you.a.flavor/posts/704686616303610,【「嶄新的街賣」- 街賣是什麼】身在台灣的我們，對於在街頭上銷售口香糖、玉蘭花、日用品、彩券的「街賣者」，必定不會陌生。但是在台灣，對於「街賣」一直都沒有系統性的研究；觀察到這樣的現象之後，我們開始懷疑，弱勢街賣者的存在，是否代表著這份工作存在著某些特性，使之成為一份比主流職業更為友善的工作？----------------------------------------------------------------在哪裡找得到「街賣者」：http://doyouaflavor.tw/#vendors或者你可以在這裡遇見台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor#人生百味 #dyaf #街賣 #人生柑仔店 #石頭湯----------------------------------------------------------------http://doyouaflavor.blogspot.tw/2015/06/1.html,Link,7/29/1512:00上午,2584,,74,6,,,,,,,,1,
509931262445814_705144419591163,https://www.facebook.com/Do.you.a.flavor/posts/705144419591163,夏天才剛開始，戰鬥尚未結束。致每位燃燒的年輕靈魂。（現在開始了解並不遲，但也別晚了）曾柏文：我們為何學歷史？── 教育史學格局、地理框架，與課綱的政治http://opinion.cw.com.tw/blog/profile/220/article/978台灣公道伯：新聞看法｜課綱微調的現況與思考http://ppt.cc/OZWtp,Status,7/29/1512:00上午,1522,,37,1,,,,,,,1,,
509931262445814_704932999612305,https://www.facebook.com/Do.you.a.flavor/posts/704932999612305,"【假裝它是顆種子，好嗎】志工心得分享The Stone: Pa Per (2014年9月，第三次石頭湯)The Seed:“那邊那個女的也是,也給他一份!”一跛跛卻走得很快的大哥熱心地指著前方.一群人一擁而上興奮地把女子圍成了半個圓圈的中心,“晚安,吃飯了嗎?要不要來一份中秋烤肉套餐?”女子淺淺的微笑微微點頭接過食物,沒有多說什麼,那個笑容,很美.安撫了每一個期望做點時麼而無能為力的人們.灰白而細絲般的長髮飄逸在空中,悠幽的,潛淺的.女子的氣質令人不禁試圖去想,街頭生活以前的她,會是什麼樣子?晚,各路朋友皆已就位準備就寢,女子幽幽地獨自坐在捷運入口前,笑容不見了,剩下空洞的眼神,望向不知何處的遠方.好似一個墜入谷底的心,台北的幽靈.那些活生生在我們眼前而視而不見亦或短暫停留的幽靈.車站大廳裡宣稱自己在等夜車的大叔,熱心但強硬的說著這樣發食物不是辦法,永遠發不完,應該要去找社會局,宗教團體,郝龍斌來處理.道理人人會講,但或許除了結構性的問題,我們也要記得結構之下的人本身,她/他們不是幽靈.感謝人生百味的機會,要不然以我薄弱的勇氣可能連那美麗的笑容也不會遇見.你們連繫了人與人.",Photo,7/29/1512:00上午,1666,,44,,,1,,,,,,,
509931262445814_704911126281159,https://www.facebook.com/Do.you.a.flavor/posts/704911126281159,很喜歡蟲蟲危機裡的那句「假裝這是顆種子，好嗎？」雖然是顆石頭，但我們努力讓這些想法發芽。每次結束後的分享，聽到大家的心得都充滿感觸，也逐步確定了，每一步走來都具有意義。人生百味陸續整理匯集一系列參與者的心得，以圖片的方式呈現。無論種子或石頭，我們都相信它會發芽茁壯。真夠任性，但你也是這麼相信著的吧。也請曾參與過石頭湯的朋友，將心得傳給我們，讓更多人感受到溫暖:),Photo,7/29/1512:00上午,1612,,55,,,1,,,,,,,
509931262445814_704684569637148,https://www.facebook.com/Do.you.a.flavor/posts/704684569637148,【為什麼要做「嶄新的街賣」】每當我們介紹完「 把回收拿給阿公阿嬤 」和「 石頭湯計畫 」之後，不少人都會問，「你們為什麼要做街賣？」阿勇說：「我們願望真的不大，一份令人有所期待的工作，足夠穩定、得以溫飽，如果能在包裹些社會意義，有機會打破成見，讓你願意走近一點，真的就值得了。嶄新的街賣，我們會繼續努力的。」在哪裡找得到「街賣者」：http://doyouaflavor.tw/#vendors或者你可以在這裡遇見台灣良食線上訂、線下找街賣者取貨：http://iseeyou.com.tw/org/org_store.php?o=144線上訂、宅配取貨，適合不在台北的你：http://www.pinkoi.com/store/doyouaflavor#人生百味 #dyaf #街賣 #人生柑仔店 #石頭湯http://doyouaflavor.blogspot.tw/2015/06/blog-post.html,Link,7/28/1512:00上午,2851,2,116,10,,,,1,,,,,
509931262445814_703830413055897,https://www.facebook.com/Do.you.a.flavor/posts/703830413055897,人生百味 剛剛上架了 【街頭撞見良食】 人生百味 日月老茶廠 阿薩姆紅茶 8茶包,Link,7/27/1512:00上午,1857,,30,,,,1,,,,,,
509931262445814_703817333057205,https://www.facebook.com/Do.you.a.flavor/posts/703817333057205,人生百味 剛剛上架了 【街頭撞見良食】 人生百味 日月老茶廠 紅玉紅茶 8茶包入,Link,7/27/1512:00上午,2301,1,41,,,,1,,,,,,
509931262445814_702689146503357,https://www.facebook.com/Do.you.a.flavor/posts/702689146503357,看到了莉莉嗯這篇文章，讓我們更加相信 - 點亮街頭這件事，是許多人心裡都會有的想法，人生百味只是利用各種簡單、有趣的方式，引起更多人的共鳴。謝謝莉莉嗯！【一位街買者的體驗】by 嗯嗯。莉莉嗯 Touch and Life文章連結: http://goo.gl/X2Pp8r線上訂: http://iseeyou.com.tw/org/org_store.php?o=144線下買: http://doyouaflavor.tw/#vendors#人生百味 #dyaf #街賣 #石頭湯,Link,7/25/1512:00上午,4597,4,116,10,,1,,,,,,,
509931262445814_702605353178403,https://www.facebook.com/Do.you.a.flavor/posts/702605353178403:0,【街賣者 時間/地點異動 公告】因為後山埤捷運站電梯即將進入 90 天的維修期，因此校長直到九月初，晴天會在後山埤二號出口的轉角、雨天會在後山埤的一號出口萊爾富。#校長表示笑的話眼睛會不見只好這樣#沒有不方便的人只有不方便的社會#人生百味 #dyaf #街賣 #石頭湯,Photo,7/25/1512:00上午,4188,2,184,4,,,,,,,,1,
509931262445814_703075046464767,https://www.facebook.com/Do.you.a.flavor/posts/703075046464767,我們在台北市議會南邊，在地希望區21號攤位，超多有趣的攤位，快來看看！,Photo,7/25/1512:00上午,2267,3,125,1,,,,1,,,,,
509931262445814_702782403160698,https://www.facebook.com/Do.you.a.flavor/posts/702782403160698:0,【星期六下午就是要壓馬路啊，不然要幹嘛？ 人生百味等一下就在台北市政府擺攤喔！】ps. 是擺攤，不是擺爛啦 XD... 人生百味很榮幸能在 #在地希望生活節 與合作的街角職人小明，一起在台北市政府市民廣場，和大家尋找點亮台灣的 100 種方式。我們的位置：「在地創新館 (Starter)」的 21 號的攤位，歡迎來找我們玩！日期：2015年7月25日 (六) 14:00-20:00地點：台北市政府前市民廣場 攤位 No.21（台北市信義區市府路1號）#人生百味 #dyaf #街賣 #石頭湯,Photo,7/24/1512:00上午,1657,4,54,1,,,,1,,,,,
509931262445814_702695736502698,https://www.facebook.com/Do.you.a.flavor/posts/702695736502698,【星期六午後，一起來市民廣場和人生百味一直玩！】人生百味很開心能夠參加「在地希望生活節」，與大家一起尋找點亮台灣的 100 種方式。我們在「在地創新館 (Starter)」的 21 號的攤位，歡迎來找我們一直玩一直玩一直玩！ps. 老闆在你背後她非常火日期：2015年7月25日 (六) 14:00-20:00地點：台北市政府前市民廣場 攤位 No.21（台北市信義區市府路1號）真的找不到丟卡厚娃: 0963367692 (阿德)#人生百味 #dyaf #街賣 #石頭湯,Photo,7/24/1512:00上午,1646,2,61,1,,,,1,,,,,
509931262445814_702601226512149,https://www.facebook.com/Do.you.a.flavor/posts/702601226512149,【一包花生糖，百工斯為備】一包好吃的「自然會花生糖」的祕訣其實很簡單，原料新鮮自然，紥實的工序。『採用在地好原料』主原料堅持採用台灣在地作物A.有機花生:採用雲林虎尾耕心農場，王玉彰大哥用十年心血栽培有機花生，目前已達到完全不施任何肥料、化學藥劑、農藥和除草劑的友善環境生產模式，B.黑糖:台南南化關山張錫彬先生的手工無毒黑糖，以白甘蔗汁熬煮5小時以上，經過檢驗確保無農藥殘留。C.手工麥芽：由北港傳發老舖手工製作，將發芽三公分的麥芽混合糯米熬煮數十小時而成，不添加樹薯粉等成分。『紥實的工序』一開始先將花生以300度C的大火烤焙，杜絕黃麴毒素的可能，接著用竹籃將花生抛空翻動，讓風吹去可能讓花生糖口感不佳的烤焙花生薄膜，同時在一旁將黑糖、海藻糖、麥芽糖一起煮至140度後，讓糖變性到黏稠的程度，加入烤焙後的有機花生扮勻，趁花生還未凝固時倒入平台容器中，以特製的原刀快速切塊，放涼後即成花生糖。【雲林水林的傳統餅鋪-祥美餅舖】李重賢、王雅玲夫婦從父親手中接下餅舖，因為從小耳濡目染，對於糕餅的製作非常熟悉，在外工作一陣後，就回家繼承父業，笑說，之前上班族生活是「朝九晚五」，餅舖的工作是「朝五晚九」！傳統餅舖在鄉下是很「神聖」的，從生命的起點到終點，都有很多需要協助的角色，於是，祥美餅舖不只製作花生糖，像紅龜、油飯、粽子、粿、壽桃、麵豬羊、大餅等等。與許多已經觀光化的古鎮相比，祥美保持著一種質樸的氣息，走進這家五十年的老餅鋪，架上空空如也沒有玲瑯滿目的產品，原來社區與餅鋪早已有了默契，透過預訂讓購買的人拿到最新鮮的產品，也減少因為展示產品而產生不必要的浪費與淚加。【街賣良食輕鬆買】:1.進入以下連結2.面交的朋友可選離自己近的街賣者(宅配的朋友就隨意)3.選擇商品，付款後我們就會出貨囉4.面交的朋友再至所選的街賣者取貨http://iseeyou.com.tw/org/org_store.php?o=144,Photo,7/24/1512:00上午,2382,5,78,1,,,1,,,,,,
509931262445814_702076313231307,https://www.facebook.com/Do.you.a.flavor/posts/702076313231307,【人生百味與大家一起終結食物浪費！】美國相當知名的脫口秀主持人 John Oliver 在本週日的節目中暢談了「食物浪費」的問題。節目中引用美國官方 (Natural Resource Defense Council & Dep. of Agriculture) 的統計數據指出，在美國有 40% 的食物在生產之後卻沒有被食用，每年被丟棄的食物總量可以堆滿 730 座橄欖球場、也造成了 1650 億美元左右的食物被浪費。（可以參考影片 2:45 及 8:00 左右的畫面，太恐怖了！滿地的蔬果啊！）這些食物浪費不僅形成了大量的溫室氣體，也讓高達將近五千萬吃不飽的美國人，只能眼睜睜看著可以填飽肚子的食物被丟進垃圾桶。節目也指出若干食物浪費的原因：例如超市為了刺激買氣，而執意把架上填滿；法規不合理地要求農產品的外觀，使得長得不符標準的食物無法上架；產品銷售、有效期限的標示不清以及誤導（研究指出，有效期限的標示並不是反應食物的安全性，只是反應製造者「猜測」食物在何時之前吃起來比較新鮮）。為什麼超市不願意捐贈呢？節目也破除了超市經營者與民眾的迷思。在美國， Emerson Act 保障了基於善意的捐贈，可免於後續法律追溯的權利，意思是不需要因為顧慮法律風險而選擇直接把剩食丟進垃圾桶。那麼，食物製造商為什麼也不願意捐贈呢？對企業來說，剩食的包裝、儲藏與運送，都代表着極高的成本，因此政府必須創造使企業願意捐出剩食的財務誘因。今年 2 月，美國眾議院通過了 Fighting Hunger Incentive Act ，就提供了捐贈剩食的企業若干稅務的減免。然而，這法案到了參議院，卻因為政商利益的考量而被修改得面目全非。因此，節目最後，主持人呼籲大家仔細思考「我們自身與食物之間的關係」，並用一個更謹慎的心態，看待眾多刺激消費的廣告。多想幾秒鐘，你的消費是可以改變環境的。#人生百味 #dyaf #石頭湯 #街賣https://www.youtube.com/watch?v=i8xwLWb0lLY,Link,7/22/1512:00上午,3221,4,117,11,,,,,,1,,,
509931262445814_701994583239480,https://www.facebook.com/Do.you.a.flavor/posts/701994583239480,【 往下之網 】by.剛勇在去年的無家可歸者會議上，一位資深社工師曾說過這麼一句話：「社會安全法應該像一面網，網住每個向下墜落的人。」 我們曾篤信天助自助，崇尚努力可補救一切，不願向上者只得自作自受。於是多少有人因此成功了，並從此將此信念奉為圭臬；卻也讓多少人失足落馬，然後，沒有然後。街友、身心障者、年長者、貧困戶，又或者，你我難道不曾多少感受到這份社會疏離？當這大環境不容許任何一點革新或冒險，當我們性格中那些尚未被磨潤的銳角無法卡榫進任何缺口，當覺得自己不只有這樣卻無處伸張書展，我們，不都正與這看似和諧的群體逐漸遠離嗎？和諧，不該是排除異己，更不該是以單一價值觀衡量每個人事物。一碗熱食、一個微笑的，每一次走進都是份機會與力量。除了督促政府建立穩固的社會安全法外，也成為將網間空隙補密的一員吧。期待這面往能承接下所有往下之人，「愛的相反不是恨，是冷漠」覺得你真的可以更近一點的人生百味：http://doyouaflavor.tw/#人生百味 #dyaf #往下之網#百味這裡也有很多宅宅 #歡迎大家多多關注,Link,7/22/1512:00上午,4053,2,115,7,,1,,,,,,,
509931262445814_701873133251625,https://www.facebook.com/Do.you.a.flavor/posts/701873133251625:0,友善蛋君來囉，有預購的朋友可在 10:30-18:30（週二公休）來取貨喔，這次沒訂到的朋友不用難過，還會有下次囉因為可能會不定時外出，來之前請先打電話確認: 0963367692 阿德,Photo,7/21/1512:00上午,1256,3,39,,,,1,,,,,,
509931262445814_701289319976673,https://www.facebook.com/Do.you.a.flavor/posts/701289319976673,【本週展架進度】by.剛勇手作強者我朋友這幾天剛好來台北玩，馬上請她幫忙在草稿展架縫上鮮豔的鬆緊帶，增加豐富度外也保護商品不會在顛簸路途被震掉（順序反了吧）新鮮檸檬乾和校長自己栽培的多肉小盆栽同步上架，想清爽度過夏天就靠它們了！跟強者朋友一樣不嫌多的好街賣 ：http://doyouaflavor.tw#人生百味 #嶄新的街賣 #dyaf,Photo,7/20/1512:00上午,2118,,66,1,,,,,,,,1,
509931262445814_700885513350387,https://www.facebook.com/Do.you.a.flavor/posts/700885513350387,【人生百味？街友？街賣者？】人生百味？百味人生？人間百味？到底你們是什麼？在做些什麼事情呢？又是哪一些人呢？送餐給街友，難道不會養成街友的依賴性嗎？為什麼要選果乾、茶包、花生糖，當做街賣的產品呢？輔導身障者轉業不是更好嘛？想必當大家想要介紹人生百味的時候，不免都會聽到朋友提出這些疑問。這次，人生百味推出15道快問快答集，推薦給第一次聽到人生百味的你、或是想要介紹人生百味給朋友的妳。如果還想知道更多，歡迎留言給我們喔，這篇文章會持續新增大家想要了解的問題。http://doyouaflavor.blogspot.tw/2015/07/15.html#人生百味 #石頭湯 #街賣 #dyaf,Link,7/20/1512:00上午,8260,7,222,34,,,,,,,1,,
509931262445814_700805766691695,https://www.facebook.com/Do.you.a.flavor/posts/700805766691695:0,【線上訂，街頭取 - 突破街頭限制的更多可能】人生百味在開發商品時，除了生產者的理念與產品的品質之外，還必需考量到街頭的限制（例如需要良好的包裝，承受街頭時而高溫、時而風大雨大的環境）以及街賣者負重的限制（因此規格上需要輕量且不佔體積）。種種的限制，能賣的東西就相當有限了。因此人生百味團隊構思了「線上訂、街頭取」的概念，大家在可以在網路上下單後，再跟街賣者取貨，突破街頭銷售的限制。休息了兩天，一個星期的工作又要開始了，來點街頭良食，點亮昏昏沉沉的辦公室午後吧！點亮藍色星期一，也點亮街頭的街頭良食，詳情請見 - http://iseeyou.com.tw/org/org_store.php?o=144#人生百味 #石頭湯 #街賣 #dyaf#昨天石頭湯煮太晚今天爬不起來內,Photo,7/19/1512:00上午,3678,2,149,4,,,,1,,,,,
509931262445814_700445796727692,https://www.facebook.com/Do.you.a.flavor/posts/700445796727692,石頭湯開煮啦～再次感謝環宇基金會和所有來參與的志工們 ：）歡迎志工們分享心得喔！！！#人生百味 #街賣 #石頭湯 #dyaf,SharedVideo,7/18/1512:00上午,2006,1,49,,,,,1,,,,,
